923,VLAN-923,10.3.173.0,255.255.255.0,10.3.173.1,Internal-Development,DC-Central Illinois,Infrastructure subnet for Internal-Development,10 servers assigned,Yes,10.3.300.5,10.3.300.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,20,7.9
924,VLAN-924,10.1.174.0,255.255.255.0,10.1.174.1,Internal-Staging,DC-East Virginia,Infrastructure subnet for Internal-Staging,13 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL-STAGING-STD,ACL-INTERNAL-STAGING-TIER,254,6,2.4
925,VLAN-925,10.1.175.0,255.255.255.0,10.1.175.1,Internal-Development,DC-East Virginia,Infrastructure subnet for Internal-Development,8 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,8,3.1
926,VLAN-926,10.2.176.0,255.255.255.0,10.2.176.1,Internal-Database,DC-West Oregon,Infrastructure subnet for Internal-Database,6 servers assigned,No,10.2.200.5,10.2.200.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,8,3.1
927,VLAN-927,10.1.177.0,255.255.255.0,10.1.177.1,Backup,DC-East Virginia,Infrastructure subnet for Backup,8 servers assigned,No,10.1.100.5,10.1.100.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,2,0.8
928,VLAN-928,10.3.178.0,255.255.255.0,10.3.178.1,Backup,DC-Central Illinois,Infrastructure subnet for Backup,6 servers assigned,No,10.3.300.5,10.3.300.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,16,6.3
929,VLAN-929,10.3.179.0,255.255.255.0,10.3.179.1,Management,DC-Central Illinois,Infrastructure subnet for Management,1 servers assigned,No,10.3.300.5,10.3.300.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,11,4.3
930,VLAN-930,10.3.180.0,255.255.255.0,10.3.180.1,Internal-Database,DC-Central Illinois,Infrastructure subnet for Internal-Database,12 servers assigned,No,10.3.300.5,10.3.300.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,12,4.7
931,VLAN-931,10.1.181.0,255.255.255.0,10.1.181.1,Backup,DC-East Virginia,Infrastructure subnet for Backup,2 servers assigned,No,10.1.100.5,10.1.100.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,15,5.9
932,VLAN-932,10.2.182.0,255.255.255.0,10.2.182.1,Internal-Database,DC-West Oregon,Infrastructure subnet for Internal-Database,15 servers assigned,No,10.2.200.5,10.2.200.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,14,5.5
933,VLAN-933,10.2.183.0,255.255.255.0,10.2.183.1,Internal-Staging,DC-West Oregon,Infrastructure subnet for Internal-Staging,14 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-STAGING-STD,ACL-INTERNAL-STAGING-TIER,254,12,4.7
934,VLAN-934,10.3.184.0,255.255.255.0,10.3.184.1,Storage,DC-Central Illinois,Infrastructure subnet for Storage,6 servers assigned,No,10.3.300.5,10.3.300.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,15,5.9
935,VLAN-935,10.1.185.0,255.255.255.0,10.1.185.1,Backup,DC-East Virginia,Infrastructure subnet for Backup,10 servers assigned,No,10.1.100.5,10.1.100.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,12,4.7
936,VLAN-936,10.1.186.0,255.255.255.0,10.1.186.1,Internal-Development,DC-East Virginia,Infrastructure subnet for Internal-Development,2 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,4,1.6
937,VLAN-937,10.2.187.0,255.255.255.0,10.2.187.1,Internal-Production,DC-West Oregon,Infrastructure subnet for Internal-Production,3 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-PRODUCTION-STD,ACL-INTERNAL-PRODUCTION-TIER,254,6,2.4
938,VLAN-938,10.1.188.0,255.255.255.0,10.1.188.1,Internal-Database,DC-East Virginia,Infrastructure subnet for Internal-Database,3 servers assigned,No,10.1.100.5,10.1.100.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,8,3.1
939,VLAN-939,10.1.189.0,255.255.255.0,10.1.189.1,Storage,DC-East Virginia,Infrastructure subnet for Storage,9 servers assigned,No,10.1.100.5,10.1.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,8,3.1
940,VLAN-940,10.2.190.0,255.255.255.0,10.2.190.1,Internal-Production,DC-West Oregon,Infrastructure subnet for Internal-Production,9 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-PRODUCTION-STD,ACL-INTERNAL-PRODUCTION-TIER,254,11,4.3
941,VLAN-941,10.3.191.0,255.255.255.0,10.3.191.1,Internal-Staging,DC-Central Illinois,Infrastructure subnet for Internal-Staging,1 servers assigned,Yes,10.3.300.5,10.3.300.6,FW-INTERNAL-STAGING-STD,ACL-INTERNAL-STAGING-TIER,254,11,4.3
942,VLAN-942,10.3.192.0,255.255.255.0,10.3.192.1,Internal-Database,DC-Central Illinois,Infrastructure subnet for Internal-Database,6 servers assigned,No,10.3.300.5,10.3.300.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,9,3.5
943,VLAN-943,10.3.193.0,255.255.255.0,10.3.193.1,Internal-Development,DC-Central Illinois,Infrastructure subnet for Internal-Development,6 servers assigned,Yes,10.3.300.5,10.3.300.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,17,6.7
944,VLAN-944,10.3.194.0,255.255.255.0,10.3.194.1,Storage,DC-Central Illinois,Infrastructure subnet for Storage,4 servers assigned,No,10.3.300.5,10.3.300.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,11,4.3
945,VLAN-945,10.3.195.0,255.255.255.0,10.3.195.1,Storage,DC-Central Illinois,Infrastructure subnet for Storage,4 servers assigned,No,10.3.300.5,10.3.300.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,13,5.1
946,VLAN-946,10.3.196.0,255.255.255.0,10.3.196.1,DMZ,DC-Central Illinois,Infrastructure subnet for DMZ,11 servers assigned,No,10.3.300.5,10.3.300.6,FW-DMZ-STD,ACL-DMZ-TIER,254,18,7.1
947,VLAN-947,10.3.197.0,255.255.255.0,10.3.197.1,DMZ,DC-Central Illinois,Infrastructure subnet for DMZ,13 servers assigned,No,10.3.300.5,10.3.300.6,FW-DMZ-STD,ACL-DMZ-TIER,254,8,3.1
948,VLAN-948,10.1.198.0,255.255.255.0,10.1.198.1,DMZ,DC-East Virginia,Infrastructure subnet for DMZ,5 servers assigned,No,10.1.100.5,10.1.100.6,FW-DMZ-STD,ACL-DMZ-TIER,254,11,4.3
949,VLAN-949,10.3.199.0,255.255.255.0,10.3.199.1,Storage,DC-Central Illinois,Infrastructure subnet for Storage,2 servers assigned,No,10.3.300.5,10.3.300.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,14,5.5
950,VLAN-950,10.2.200.0,255.255.255.0,10.2.200.1,Backup,DC-West Oregon,Infrastructure subnet for Backup,15 servers assigned,No,10.2.200.5,10.2.200.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,19,7.5
951,VLAN-951,10.1.201.0,255.255.255.0,10.1.201.1,Storage,DC-East Virginia,Infrastructure subnet for Storage,5 servers assigned,No,10.1.100.5,10.1.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,8,3.1
952,VLAN-952,10.3.202.0,255.255.255.0,10.3.202.1,Management,DC-Central Illinois,Infrastructure subnet for Management,14 servers assigned,No,10.3.300.5,10.3.300.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,6,2.4
953,VLAN-953,10.2.203.0,255.255.255.0,10.2.203.1,Internal-Production,DC-West Oregon,Infrastructure subnet for Internal-Production,3 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-PRODUCTION-STD,ACL-INTERNAL-PRODUCTION-TIER,254,6,2.4
954,VLAN-954,10.1.204.0,255.255.255.0,10.1.204.1,Backup,DC-East Virginia,Infrastructure subnet for Backup,14 servers assigned,No,10.1.100.5,10.1.100.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,17,6.7
955,VLAN-955,10.3.205.0,255.255.255.0,10.3.205.1,Storage,DC-Central Illinois,Infrastructure subnet for Storage,12 servers assigned,No,10.3.300.5,10.3.300.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,18,7.1
956,VLAN-956,10.3.206.0,255.255.255.0,10.3.206.1,Management,DC-Central Illinois,Infrastructure subnet for Management,11 servers assigned,No,10.3.300.5,10.3.300.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,8,3.1
957,VLAN-957,10.3.207.0,255.255.255.0,10.3.207.1,Internal-Development,DC-Central Illinois,Infrastructure subnet for Internal-Development,15 servers assigned,Yes,10.3.300.5,10.3.300.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,14,5.5
958,VLAN-958,10.2.208.0,255.255.255.0,10.2.208.1,Storage,DC-West Oregon,Infrastructure subnet for Storage,6 servers assigned,No,10.2.200.5,10.2.200.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,19,7.5
959,VLAN-959,10.3.209.0,255.255.255.0,10.3.209.1,Internal-Database,DC-Central Illinois,Infrastructure subnet for Internal-Database,6 servers assigned,No,10.3.300.5,10.3.300.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,19,7.5
960,VLAN-960,10.2.210.0,255.255.255.0,10.2.210.1,Backup,DC-West Oregon,Infrastructure subnet for Backup,8 servers assigned,No,10.2.200.5,10.2.200.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,19,7.5
961,VLAN-961,10.2.211.0,255.255.255.0,10.2.211.1,Internal-Development,DC-West Oregon,Infrastructure subnet for Internal-Development,8 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,15,5.9
962,VLAN-962,10.3.212.0,255.255.255.0,10.3.212.1,Storage,DC-Central Illinois,Infrastructure subnet for Storage,14 servers assigned,No,10.3.300.5,10.3.300.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,15,5.9
963,VLAN-963,10.3.213.0,255.255.255.0,10.3.213.1,Internal-Development,DC-Central Illinois,Infrastructure subnet for Internal-Development,7 servers assigned,Yes,10.3.300.5,10.3.300.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,10,3.9
964,VLAN-964,10.3.214.0,255.255.255.0,10.3.214.1,Management,DC-Central Illinois,Infrastructure subnet for Management,11 servers assigned,No,10.3.300.5,10.3.300.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,20,7.9
965,VLAN-965,10.2.215.0,255.255.255.0,10.2.215.1,DMZ,DC-West Oregon,Infrastructure subnet for DMZ,12 servers assigned,No,10.2.200.5,10.2.200.6,FW-DMZ-STD,ACL-DMZ-TIER,254,8,3.1
966,VLAN-966,10.2.216.0,255.255.255.0,10.2.216.1,Internal-Staging,DC-West Oregon,Infrastructure subnet for Internal-Staging,9 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-STAGING-STD,ACL-INTERNAL-STAGING-TIER,254,12,4.7
967,VLAN-967,10.3.217.0,255.255.255.0,10.3.217.1,Internal-Development,DC-Central Illinois,Infrastructure subnet for Internal-Development,12 servers assigned,Yes,10.3.300.5,10.3.300.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,14,5.5
968,VLAN-968,10.2.218.0,255.255.255.0,10.2.218.1,Backup,DC-West Oregon,Infrastructure subnet for Backup,14 servers assigned,No,10.2.200.5,10.2.200.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,4,1.6
969,VLAN-969,10.2.219.0,255.255.255.0,10.2.219.1,Internal-Development,DC-West Oregon,Infrastructure subnet for Internal-Development,2 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,6,2.4
970,VLAN-970,10.1.220.0,255.255.255.0,10.1.220.1,Internal-Development,DC-East Virginia,Infrastructure subnet for Internal-Development,4 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,17,6.7
971,VLAN-971,10.1.221.0,255.255.255.0,10.1.221.1,Storage,DC-East Virginia,Infrastructure subnet for Storage,13 servers assigned,No,10.1.100.5,10.1.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,2,0.8
972,VLAN-972,10.2.222.0,255.255.255.0,10.2.222.1,Internal-Staging,DC-West Oregon,Infrastructure subnet for Internal-Staging,13 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-STAGING-STD,ACL-INTERNAL-STAGING-TIER,254,10,3.9
973,VLAN-973,10.2.223.0,255.255.255.0,10.2.223.1,Backup,DC-West Oregon,Infrastructure subnet for Backup,5 servers assigned,No,10.2.200.5,10.2.200.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,5,2.0
974,VLAN-974,10.1.224.0,255.255.255.0,10.1.224.1,Management,DC-East Virginia,Infrastructure subnet for Management,9 servers assigned,No,10.1.100.5,10.1.100.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,16,6.3
975,VLAN-975,10.2.225.0,255.255.255.0,10.2.225.1,Backup,DC-West Oregon,Infrastructure subnet for Backup,15 servers assigned,No,10.2.200.5,10.2.200.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,20,7.9
976,VLAN-976,10.3.226.0,255.255.255.0,10.3.226.1,Internal-Development,DC-Central Illinois,Infrastructure subnet for Internal-Development,12 servers assigned,Yes,10.3.300.5,10.3.300.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,15,5.9
977,VLAN-977,10.1.227.0,255.255.255.0,10.1.227.1,Internal-Database,DC-East Virginia,Infrastructure subnet for Internal-Database,5 servers assigned,No,10.1.100.5,10.1.100.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,17,6.7
978,VLAN-978,10.3.228.0,255.255.255.0,10.3.228.1,Internal-Staging,DC-Central Illinois,Infrastructure subnet for Internal-Staging,12 servers assigned,Yes,10.3.300.5,10.3.300.6,FW-INTERNAL-STAGING-STD,ACL-INTERNAL-STAGING-TIER,254,7,2.8
979,VLAN-979,10.3.229.0,255.255.255.0,10.3.229.1,Internal-Staging,DC-Central Illinois,Infrastructure subnet for Internal-Staging,6 servers assigned,Yes,10.3.300.5,10.3.300.6,FW-INTERNAL-STAGING-STD,ACL-INTERNAL-STAGING-TIER,254,16,6.3
980,VLAN-980,10.1.230.0,255.255.255.0,10.1.230.1,Storage,DC-East Virginia,Infrastructure subnet for Storage,3 servers assigned,No,10.1.100.5,10.1.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,8,3.1
981,VLAN-981,10.2.231.0,255.255.255.0,10.2.231.1,Internal-Production,DC-West Oregon,Infrastructure subnet for Internal-Production,10 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-PRODUCTION-STD,ACL-INTERNAL-PRODUCTION-TIER,254,10,3.9
982,VLAN-982,10.2.232.0,255.255.255.0,10.2.232.1,Internal-Development,DC-West Oregon,Infrastructure subnet for Internal-Development,7 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,1,0.4
983,VLAN-983,10.2.233.0,255.255.255.0,10.2.233.1,Internal-Development,DC-West Oregon,Infrastructure subnet for Internal-Development,1 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,11,4.3
984,VLAN-984,10.2.234.0,255.255.255.0,10.2.234.1,Internal-Staging,DC-West Oregon,Infrastructure subnet for Internal-Staging,13 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-STAGING-STD,ACL-INTERNAL-STAGING-TIER,254,1,0.4
