Report_Month,Server_ID,Hostname,IP_Address,CPU_Avg_Pct,CPU_Peak_Pct,Memory_Avg_Pct,Memory_Peak_Pct,Disk_Used_Pct,Network_In_Mbps,Network_Out_Mbps,Uptime_Pct,Alert_Count
2024-10,SRV-W-020,srvw020,10.2.100.30,65.2,85.0,37.8,43.1,35.6,206.2,52.4,99.06,6
2024-10,SRV-W-021,srvw021,10.2.101.31,54.3,67.5,32.8,50.5,80.3,439.3,291.8,99.06,9
2024-10,SRV-W-022,srvw022,10.2.102.32,47.7,70.6,78.5,88.6,52.2,259.0,149.3,99.69,4
2024-10,SRV-W-023,srvw023,10.2.103.33,13.0,29.0,67.8,79.2,29.9,182.6,250.5,99.27,1
2024-10,SRV-W-024,srvw024,10.2.104.34,51.7,62.3,55.7,68.6,20.2,62.7,137.4,99.55,1
2024-10,SRV-W-025,srvw025,10.2.105.35,70.2,80.9,32.7,41.1,36.8,221.2,21.7,98.77,0
2024-10,SRV-W-026,srvw026,10.2.106.36,62.6,84.9,45.0,55.5,25.8,209.2,101.6,99.94,10
2024-10,SRV-W-027,srvw027,10.2.107.37,38.6,50.8,81.1,95.0,28.5,186.3,124.2,99.7,5
2024-10,SRV-W-028,srvw028,10.2.108.38,36.0,46.3,41.0,46.9,66.4,424.6,12.3,99.06,10
2024-10,SRV-W-029,srvw029,10.2.109.39,20.1,30.8,71.9,89.8,75.2,257.9,38.6,99.83,2
2024-10,SRV-W-030,srvw030,10.2.110.40,59.8,83.1,53.6,63.7,69.4,200.0,196.4,100.0,10
2024-10,SRV-W-031,srvw031,10.2.111.41,66.3,80.8,30.8,39.7,30.4,227.6,104.1,99.42,0
2024-10,SRV-W-032,srvw032,10.2.112.42,61.5,76.5,72.4,83.8,34.0,172.7,12.0,98.82,1
2024-10,SRV-W-034,srvw034,10.2.114.44,23.1,43.6,36.6,44.3,20.1,210.1,179.7,99.08,7
2024-10,SRV-W-035,srvw035,10.2.115.45,26.9,40.1,34.9,49.0,62.8,104.4,74.8,99.9,9
2024-10,SRV-W-036,srvw036,10.2.116.46,59.1,76.5,76.4,93.0,66.1,106.5,283.7,98.9,1
2024-10,SRV-W-037,srvw037,10.2.117.47,39.2,52.9,38.7,51.4,20.1,301.6,206.9,98.55,2
2024-10,SRV-W-038,srvw038,10.2.118.48,35.0,59.4,51.8,66.3,55.4,302.7,66.4,98.69,6
2024-10,SRV-W-039,srvw039,10.2.119.49,28.6,42.8,49.9,55.8,38.9,49.2,159.5,99.76,8
2024-10,SRV-W-040,srvw040,10.2.100.50,38.3,51.1,76.3,90.9,39.2,339.9,73.5,98.62,2
2024-10,SRV-W-042,srvw042,10.2.102.52,13.5,33.1,48.0,62.0,22.0,9.3,294.4,99.57,12
2024-10,SRV-W-043,srvw043,10.2.103.53,50.3,60.3,42.2,57.6,78.3,221.6,63.3,99.1,7
2024-10,SRV-W-044,srvw044,10.2.104.54,63.6,75.1,51.3,63.0,29.1,357.1,23.9,98.88,8
2024-10,SRV-W-045,srvw045,10.2.105.55,13.0,36.6,62.4,77.1,26.5,98.9,254.6,99.37,9
2024-10,SRV-W-046,srvw046,10.2.106.56,11.2,23.0,78.8,87.8,69.0,107.4,216.8,98.51,11
2024-10,SRV-W-047,srvw047,10.2.107.57,13.7,35.6,63.7,79.5,36.1,45.0,222.8,99.23,4
2024-10,SRV-W-049,srvw049,10.2.109.59,69.5,91.8,63.5,70.6,56.2,247.0,223.4,98.91,0
2024-10,SRV-W-050,srvw050,10.2.110.60,45.8,68.9,59.9,66.1,44.7,268.3,125.3,99.45,9
2024-10,SRV-C-001,srvc001,10.3.101.11,42.8,53.8,55.8,69.8,47.0,310.1,197.3,98.96,0
2024-10,SRV-C-002,srvc002,10.3.102.12,47.6,61.8,50.2,55.3,27.0,159.3,54.7,99.47,5
2024-10,SRV-C-003,srvc003,10.3.103.13,63.3,85.3,39.2,55.5,33.8,243.2,288.1,98.91,4
2024-10,SRV-C-004,srvc004,10.3.104.14,24.1,39.7,41.5,57.5,59.8,140.3,132.5,99.26,12
2024-10,SRV-C-005,srvc005,10.3.105.15,36.4,47.9,75.9,93.0,24.1,166.4,47.1,98.9,9
2024-10,SRV-C-006,srvc006,10.3.106.16,37.2,60.0,76.5,85.2,25.9,251.1,126.8,99.87,7
2024-10,SRV-C-007,srvc007,10.3.107.17,11.9,32.0,57.9,74.7,52.3,245.1,157.1,99.8,12
2024-10,SRV-C-008,srvc008,10.3.108.18,67.4,85.6,59.5,73.9,25.8,216.6,3.3,99.13,5
2024-10,SRV-C-009,srvc009,10.3.109.19,45.9,60.7,56.8,72.5,43.9,217.1,318.4,99.21,5
2024-10,SRV-C-010,srvc010,10.3.110.20,54.1,67.0,79.6,97.0,31.0,253.5,252.5,99.83,12
2024-10,SRV-C-011,srvc011,10.3.111.21,48.3,69.3,50.2,56.0,23.7,194.2,209.1,99.29,1
2024-10,SRV-C-012,srvc012,10.3.112.22,14.8,36.6,34.0,45.5,38.4,155.9,110.9,99.42,4
2024-10,SRV-C-013,srvc013,10.3.113.23,70.3,81.9,59.7,69.9,74.0,74.6,32.0,98.73,6
2024-10,SRV-C-014,srvc014,10.3.114.24,54.5,73.3,44.3,58.2,33.4,33.2,21.4,98.71,5
2024-10,SRV-C-015,srvc015,10.3.115.25,58.8,74.2,42.1,53.9,52.0,17.5,250.0,99.02,5
2024-10,SRV-C-016,srvc016,10.3.116.26,17.4,30.6,52.9,58.2,78.3,61.7,308.6,98.8,8
2024-10,SRV-C-017,srvc017,10.3.117.27,57.2,79.9,43.8,51.9,60.5,113.5,43.4,99.64,12
2024-10,SRV-C-018,srvc018,10.3.118.28,37.8,62.3,30.3,38.3,45.3,69.5,216.4,99.48,7
2024-10,SRV-C-020,srvc020,10.3.100.30,25.1,35.4,40.4,45.7,68.1,23.3,121.0,98.61,5
2024-10,SRV-C-021,srvc021,10.3.101.31,21.6,32.9,46.3,59.3,77.0,206.0,26.1,99.63,4
2024-10,SRV-C-022,srvc022,10.3.102.32,10.3,33.6,80.7,86.2,61.8,232.9,282.6,99.94,9
2024-10,SRV-C-023,srvc023,10.3.103.33,44.0,56.5,31.5,49.2,58.1,150.9,16.6,99.62,4
2024-10,SRV-C-024,srvc024,10.3.104.34,24.1,45.4,73.0,89.9,24.8,49.8,170.1,99.27,10
2024-10,SRV-C-025,srvc025,10.3.105.35,49.7,71.4,55.5,70.1,21.8,210.0,174.6,99.3,10
2024-10,SRV-C-026,srvc026,10.3.106.36,45.2,69.9,62.4,79.1,23.4,225.0,288.2,99.87,9
2024-10,SRV-C-027,srvc027,10.3.107.37,12.6,35.0,48.8,56.6,46.3,377.0,19.7,99.0,7
2024-10,SRV-C-028,srvc028,10.3.108.38,68.6,91.3,46.7,61.7,40.3,33.9,223.8,99.26,1
2024-10,SRV-C-029,srvc029,10.3.109.39,58.9,72.4,69.9,85.0,43.8,114.0,198.1,99.0,4
2024-10,SRV-C-030,srvc030,10.3.110.40,24.5,47.9,59.3,70.5,54.8,128.1,10.5,98.65,10
2024-10,SRV-C-031,srvc031,10.3.111.41,10.0,34.5,39.6,46.4,33.4,129.1,283.0,98.57,8
2024-10,SRV-C-032,srvc032,10.3.112.42,44.8,56.6,39.7,49.3,27.6,256.1,236.7,99.0,8
2024-10,SRV-C-033,srvc033,10.3.113.43,11.8,21.9,81.5,91.7,41.0,298.5,5.6,99.0,3
2024-10,SRV-C-034,srvc034,10.3.114.44,50.2,65.5,42.8,49.1,44.9,312.0,20.2,98.93,8
2024-10,SRV-C-035,srvc035,10.3.115.45,48.4,65.4,50.8,58.9,31.9,403.7,158.0,99.24,2
2024-10,SRV-C-036,srvc036,10.3.116.46,38.3,50.1,41.7,54.8,53.3,337.4,244.7,99.31,10
2024-10,SRV-C-038,srvc038,10.3.118.48,14.0,32.7,70.3,78.1,79.9,409.8,286.1,98.78,12
2024-10,SRV-C-039,srvc039,10.3.119.49,55.3,67.6,33.8,42.8,70.2,257.7,151.6,99.85,9
2024-10,SRV-C-040,srvc040,10.3.100.50,57.0,68.2,78.8,86.2,61.2,16.3,237.1,98.75,1
2024-10,SRV-C-041,srvc041,10.3.101.51,29.0,44.2,52.6,59.4,72.0,251.3,273.3,99.25,3
2024-10,SRV-C-042,srvc042,10.3.102.52,10.4,30.9,60.4,72.5,56.6,410.0,49.6,99.88,7
2024-10,SRV-C-043,srvc043,10.3.103.53,41.7,57.1,62.1,67.7,67.0,387.5,103.9,99.48,11
2024-10,SRV-C-044,srvc044,10.3.104.54,29.8,44.2,43.1,52.7,80.9,286.8,111.6,98.87,6
2024-10,SRV-C-045,srvc045,10.3.105.55,33.9,48.3,67.8,82.5,31.6,381.2,229.4,99.39,9
2024-10,SRV-C-046,srvc046,10.3.106.56,66.9,82.7,58.8,76.4,81.8,15.6,36.5,99.32,12
2024-10,SRV-C-047,srvc047,10.3.107.57,69.8,80.8,46.2,61.2,77.1,70.9,82.1,98.98,10
2024-10,SRV-C-048,srvc048,10.3.108.58,18.7,32.9,46.0,53.5,74.8,425.7,90.7,98.73,4
2024-10,SRV-C-049,srvc049,10.3.109.59,67.8,83.6,45.0,58.9,32.5,374.2,296.4,98.76,7
2024-10,SRV-C-050,srvc050,10.3.110.60,22.7,35.6,64.7,77.5,64.6,322.4,211.2,98.71,2
2024-10,SRV-E-056,srve056,10.1.116.66,60.4,80.7,62.7,76.0,20.2,150.7,35.6,99.62,11
2024-10,SRV-E-057,srve057,10.1.117.67,29.7,47.2,58.5,66.5,56.4,343.5,313.9,98.88,8
2024-10,SRV-E-058,srve058,10.1.118.68,44.4,64.9,52.6,64.9,72.6,135.4,252.5,99.41,11
2024-10,SRV-E-059,srve059,10.1.119.69,38.0,57.0,30.5,35.8,72.8,43.3,220.1,99.2,6
2024-10,SRV-E-060,srve060,10.1.100.70,54.8,68.0,67.0,78.0,68.9,267.9,190.9,99.37,10
2024-10,SRV-W-051,srvw051,10.2.111.61,28.9,45.3,68.2,80.3,60.2,169.0,124.4,98.82,12
2024-11,SRV-E-001,srve001,10.1.101.11,68.0,87.0,76.0,87.0,79.0,256.6,255.9,98.66,3
2024-11,SRV-E-002,srve002,10.1.102.12,59.7,79.9,38.5,48.0,32.4,42.9,264.7,98.57,5
2024-11,SRV-E-003,srve003,10.1.103.13,71.3,90.4,43.2,51.3,68.9,171.1,125.0,98.92,7
2024-11,SRV-E-004,srve004,10.1.104.14,65.2,77.6,72.4,81.5,24.3,87.1,186.0,99.98,6
2024-11,SRV-E-005,srve005,10.1.105.15,16.2,35.5,80.5,93.5,44.5,253.9,224.2,98.93,5
2024-11,SRV-E-006,srve006,10.1.106.16,15.7,28.7,77.0,91.4,62.2,287.1,288.7,99.31,2
2024-11,SRV-E-007,srve007,10.1.107.17,30.2,47.4,49.8,54.9,25.1,322.0,255.3,99.15,6
2024-11,SRV-E-009,srve009,10.1.109.19,53.8,76.2,43.0,54.3,71.0,255.7,32.6,98.93,3
2024-11,SRV-E-010,srve010,10.1.110.20,35.5,45.8,70.9,87.7,27.8,371.0,78.1,99.99,8
2024-11,SRV-E-011,srve011,10.1.111.21,53.2,65.7,34.9,42.8,28.4,410.7,136.7,99.26,12
2024-11,SRV-E-012,srve012,10.1.112.22,64.6,87.4,30.6,42.6,68.3,184.8,198.9,98.95,4
2024-11,SRV-E-013,srve013,10.1.113.23,22.4,37.4,54.1,66.3,65.5,14.3,144.6,99.33,2
2024-11,SRV-E-014,srve014,10.1.114.24,58.4,81.0,77.6,90.6,81.6,236.6,211.5,98.96,8
2024-11,SRV-E-015,srve015,10.1.115.25,25.1,48.2,61.0,79.1,45.6,117.2,271.1,99.98,4
2024-11,SRV-E-016,srve016,10.1.116.26,34.6,48.1,64.7,79.3,50.5,367.9,18.2,98.85,0
2024-11,SRV-E-017,srve017,10.1.117.27,52.4,69.3,52.2,57.8,76.4,241.1,312.8,99.21,11
2024-11,SRV-E-018,srve018,10.1.118.28,28.6,48.6,72.3,89.3,26.0,418.1,83.3,98.75,11
2024-11,SRV-E-019,srve019,10.1.119.29,44.9,62.9,38.6,43.8,66.0,354.4,123.3,99.2,9
2024-11,SRV-E-020,srve020,10.1.100.30,70.2,84.7,66.8,84.1,47.1,287.7,7.2,98.98,12
2024-11,SRV-E-021,srve021,10.1.101.31,67.0,83.9,61.5,76.5,27.8,160.7,169.4,98.74,3
2024-11,SRV-E-022,srve022,10.1.110.45,51.3,68.6,70.8,79.5,81.3,144.1,137.8,99.21,0
2024-11,SRV-E-024,srve024,10.1.104.34,10.3,30.1,61.9,67.0,34.5,101.6,73.8,99.32,11
2024-11,SRV-E-025,srve025,10.1.105.35,13.0,27.9,67.0,77.5,73.5,411.4,172.6,99.9,6
2024-11,SRV-E-026,srve026,10.1.106.36,31.6,46.1,36.0,49.0,35.0,70.2,86.2,99.04,6
2024-11,SRV-E-027,srve027,10.1.107.37,54.6,65.6,75.2,85.6,49.6,128.5,5.2,98.91,12
2024-11,SRV-E-028,srve028,10.1.108.38,46.1,56.5,57.8,67.9,56.8,19.0,133.7,99.16,0
2024-11,SRV-E-029,srve029,10.1.109.39,60.6,84.6,72.2,83.2,24.0,405.2,295.4,99.09,3
2024-11,SRV-E-030,srve030,10.1.110.40,41.4,58.1,51.0,60.8,52.4,102.5,160.9,99.07,7
2024-11,SRV-E-031,srve031,10.1.111.41,29.6,45.9,79.2,89.8,22.6,107.8,250.4,99.21,6
2024-11,SRV-E-032,srve032,10.1.112.42,48.9,61.1,43.8,50.2,72.0,192.9,307.3,99.58,5
2024-11,SRV-E-033,srve033,10.1.113.43,28.9,40.9,41.3,52.6,21.0,88.6,270.6,98.97,12
2024-11,SRV-E-034,srve034,10.1.114.44,40.7,54.7,69.1,85.8,29.0,262.1,10.8,99.32,1
2024-11,SRV-E-035,srve035,10.1.115.45,24.9,38.5,77.5,85.9,59.1,226.8,278.1,99.85,5
2024-11,SRV-E-036,srve036,10.1.116.46,61.3,75.2,80.2,87.6,66.2,268.2,313.5,99.9,11
2024-11,SRV-E-037,srve037,10.1.117.47,46.9,63.7,50.5,57.5,63.8,300.5,190.2,99.19,8
2024-11,SRV-E-038,srve038,10.1.118.48,17.6,39.4,54.9,61.9,72.7,230.8,177.6,99.27,4
2024-11,SRV-E-039,srve039,10.1.119.49,67.9,79.7,76.7,84.8,64.7,260.5,229.1,99.45,7
2024-11,SRV-E-040,srve040,10.1.100.50,31.5,46.4,34.9,42.3,70.5,91.2,273.6,99.65,5
2024-11,SRV-E-041,srve041,10.1.101.51,47.0,70.0,51.5,68.7,38.2,135.1,140.4,99.53,8
2024-11,SRV-E-042,srve042,10.1.102.52,38.6,49.0,65.5,79.2,74.7,17.1,67.8,99.06,5
2024-11,SRV-E-043,srve043,10.1.103.53,39.3,54.6,73.5,79.9,51.3,419.7,102.1,99.8,12
2024-11,SRV-E-044,srve044,10.1.104.54,62.8,79.7,71.0,78.7,66.2,35.8,67.6,99.32,7
2024-11,SRV-E-045,srve045,10.1.105.55,36.3,47.5,53.8,63.0,70.8,328.2,210.6,99.85,3
2024-11,SRV-E-046,srve046,10.1.106.56,33.2,56.6,42.5,48.7,75.3,424.3,147.5,98.83,6
2024-11,SRV-E-047,srve047,10.1.107.57,56.6,77.3,62.7,78.5,26.0,288.7,130.6,98.85,11
2024-11,SRV-E-048,srve048,10.1.108.58,34.0,51.9,81.9,88.6,43.4,240.6,210.0,98.68,12
2024-11,SRV-E-049,srve049,10.1.109.59,48.0,65.9,78.7,95.6,71.9,306.9,140.7,98.65,1
2024-11,SRV-E-050,srve050,10.1.110.60,58.0,75.1,73.4,80.4,24.3,41.6,47.0,99.79,4
2024-11,SRV-E-051,srve051,10.1.111.61,18.6,41.8,48.0,59.6,22.5,140.5,101.6,98.92,3
2024-11,SRV-E-052,srve052,10.1.112.62,23.6,35.0,31.6,49.6,25.7,204.0,256.7,99.01,0
2024-11,SRV-E-053,srve053,10.1.113.63,48.6,65.0,34.8,43.9,53.2,108.8,54.9,99.55,2
2024-11,SRV-E-054,srve054,10.1.114.64,69.2,87.5,63.3,77.6,72.3,45.4,10.1,98.58,6
2024-11,SRV-E-055,srve055,10.1.115.65,49.8,59.9,75.6,84.4,70.7,447.3,103.1,99.8,10
2024-11,SRV-W-001,srvw001,10.2.101.11,58.0,82.8,47.4,62.7,76.5,91.7,9.5,99.43,6
2024-11,SRV-W-002,srvw002,10.2.102.12,34.1,46.1,57.7,64.8,66.5,178.8,147.9,99.44,10
2024-11,SRV-W-003,srvw003,10.2.103.13,23.2,47.4,34.3,44.9,40.7,366.8,34.4,99.32,2
2024-11,SRV-W-004,srvw004,10.2.104.14,16.9,35.6,53.9,71.3,22.0,182.5,305.0,98.67,10
2024-11,SRV-W-005,srvw005,10.2.105.15,49.1,71.8,34.9,47.2,24.2,37.1,9.7,98.63,3
2024-11,SRV-W-006,srvw006,10.2.106.16,12.5,34.0,45.4,55.5,35.2,5.7,239.3,99.39,0
2024-11,SRV-W-007,srvw007,10.2.107.17,37.8,53.6,47.8,53.4,62.0,322.0,71.3,99.63,4
2024-11,SRV-W-008,srvw008,10.2.108.18,66.6,88.0,46.9,56.7,36.0,354.7,187.3,99.69,1
2024-11,SRV-W-009,srvw009,10.2.109.19,54.8,71.9,79.6,86.6,37.0,117.1,177.7,98.83,3
2024-11,SRV-W-010,srvw010,10.2.110.20,58.4,80.3,57.8,73.1,73.0,74.7,73.7,98.58,12
2024-11,SRV-W-011,srvw011,10.2.111.21,30.7,41.7,35.7,41.0,22.0,141.2,264.7,98.58,2
2024-11,SRV-W-012,srvw012,10.2.112.22,46.6,69.4,71.2,82.1,25.7,422.7,157.0,99.14,7
2024-11,SRV-W-013,srvw013,10.2.113.23,18.7,35.1,39.6,54.6,21.0,120.2,262.5,99.66,6
2024-11,SRV-W-014,srvw014,10.2.114.24,58.0,83.0,56.6,71.4,70.0,301.8,40.0,98.8,12
2024-11,SRV-W-016,srvw016,10.2.116.26,32.7,44.6,34.2,41.8,77.5,236.4,267.4,99.04,1
2024-11,SRV-W-017,srvw017,10.2.117.27,29.9,46.5,68.9,82.1,80.7,322.0,184.8,99.34,4
2024-11,SRV-W-018,srvw018,10.2.118.28,19.7,43.5,42.1,54.2,65.0,178.9,294.2,98.73,11
2024-11,SRV-W-019,srvw019,10.2.119.29,68.3,88.9,48.7,59.0,56.8,55.3,3.7,98.59,0
2024-11,SRV-W-020,srvw020,10.2.100.30,52.9,68.2,66.2,80.3,24.7,437.9,223.0,99.59,7
2024-11,SRV-W-021,srvw021,10.2.101.31,65.8,77.6,79.6,94.4,50.6,413.8,269.5,99.43,2
2024-11,SRV-W-022,srvw022,10.2.102.32,46.1,62.6,76.6,88.2,31.5,17.8,244.9,99.94,9
2024-11,SRV-W-023,srvw023,10.2.103.33,67.0,82.0,49.0,62.0,53.7,332.7,197.3,99.55,10
2024-11,SRV-W-024,srvw024,10.2.104.34,17.6,34.0,47.2,55.4,65.3,192.7,220.0,99.03,4
2024-11,SRV-W-025,srvw025,10.2.105.35,41.5,64.6,39.7,56.8,68.4,277.6,255.9,99.7,10
2024-11,SRV-W-026,srvw026,10.2.106.36,23.1,38.3,59.2,66.2,34.4,386.0,7.6,98.79,12
